Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,7.740699768066406,7.814808368682861,7.666591167449951,1.8440535068511963,1.5723668336868286,0.6947925686836243,0.8592941761016846,0.14167433977127075,0.5461577773094177,2.082367420196533
Denmark,7.582699775695801,7.66529655456543,7.500102996826172,1.9077976942062378,1.520361304283142,0.6989444494247437,0.8227398991584778,0.20357856154441833,0.5484128594398499,1.8808865547180176
Iceland,7.525100231170654,7.617527484893799,7.43267297744751,1.8807179927825928,1.616525411605835,0.7183446884155273,0.8185086846351624,0.25834378600120544,0.18247270584106445,2.0502333641052246
Sweden,7.344099998474121,7.421563148498535,7.266636848449707,1.8781455755233765,1.500826120376587,0.7238714694976807,0.8382693529129028,0.2214551717042923,0.523795485496521,1.6577072143554688
Israel,7.341100215911865,7.40516471862793,7.277035713195801,1.8029335737228394,1.5127928256988525,0.7398161888122559,0.6414628624916077,0.15320545434951782,0.1928226798772812,2.298025608062744
Netherlands,7.319399833679199,7.3825764656066895,7.256223201751709,1.9006567001342773,1.4620469808578491,0.705882728099823,0.7250812649726868,0.24736124277114868,0.3724209666252136,1.9059133529663086
Norway,7.301700115203857,7.388734340667725,7.21466588973999,1.9519555568695068,1.5165399312973022,0.7037922143936157,0.8353757262229919,0.2241426408290863,0.4839325547218323,1.585944652557373
Luxembourg,7.1219000816345215,7.212736129760742,7.031064033508301,2.1405189037323,1.3546255826950073,0.707603931427002,0.8012130856513977,0.1456821858882904,0.4324110150337219,1.5398368835449219
Switzerland,7.060200214385986,7.1474151611328125,6.97298526763916,1.9702684879302979,1.4249322414398193,0.7467435002326965,0.7591595649719238,0.1733064353466034,0.4976126551628113,1.4881491661071777
Australia,7.0569000244140625,7.140659809112549,6.973140239715576,1.854258418083191,1.4610912799835205,0.6920179724693298,0.7562706470489502,0.22520789504051208,0.3233519196510315,1.744743824005127
New Zealand,7.029200077056885,7.104537010192871,6.953863143920898,1.8103488683700562,1.5269402265548706,0.672621488571167,0.7455471754074097,0.22608228027820587,0.4802168905735016,1.5674505233764648
Costa Rica,6.955399990081787,7.050892353057861,6.859907627105713,1.5606451034545898,1.3730103969573975,0.6608455777168274,0.7965115308761597,0.10850757360458374,0.1229485422372818,2.3329739570617676
Kuwait,6.951399803161621,7.0597639083862305,6.843035697937012,1.8450720310211182,1.363654375076294,0.6611782908439636,0.8265801668167114,0.19951944053173065,0.17166642844676971,1.8837714195251465
